Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
RC-425 - Basket Frame,Egyptian,18TH,1380 - 50 BCE,Amarna,Reed,Basketry,322.jpg
RC-426 - Basket Fragment,Egyptian,18TH,1380 - 62 BCE,Amarna,Reed,Basketry,18.jpg
RC-431 - Lion's Head Downspout,Egyptian,,332-31 BCE,Ptolemaic,Terracotta,Sculpture,367.jpg
RC-433 - Grape Cluster,Egyptian,18TH,1346-1336 BCE,Amarna,Glazed Clay,Sculpture,858.jpg
RC-442 - Weight,Egyptian,18TH,1570-1293 BCE,Amarna,Limestone,Tools,876.jpg
RC-443 - Dish,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Vessels,809.jpg
RC-444 - Jar Holder,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Vessels,804.jpg
RC-445 - Water Trough,Egyptian,18TH,1370-1350 BCE,Amarna,Limestone,Vessels,776.jpg
RC-446 - Mortar,Egyptian,18TH,1370-1350 BCE,Amarna,Alabaster,Tools,529.jpg
RC-447 - Sphere/ Pestle,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Tools,50.jpg
RC-449 - Spinning Bowl,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Tools,156.jpg
RC-450 - Jar Holder,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Vessels,127.jpg
RC-451 - Seat,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Furniture,906.jpg
RC-453 - Wheel,Egyptian,,,,Metal,Tools,363.jpg
RC-454 - Anubis,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,962.jpg
RC-455 - Eye,Egyptian,26TH,685-525 BCE,Saite Period,Bronze,Funerary,59.jpg
RC-456 - Sewn Leather Fragments/Mounted,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Leather,Toiletries,264.jpg
RC-459 - Amulet,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Amulets,963.jpg
RC-462 - Amphora,Egyptian,,332 - 30 BCE,Ptolemaic,Glass,Vessels,107.jpg
RC-464 - Boat Model Figure,Egyptian,11-12th,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,964.jpg
RC-465 - Boat Model Figure,Egyptian,11-12th,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,965.jpg
RC-466 - Boat Model Figure,Egyptian,11 - 12TH,2100-1790 BCE,Middle Kingdom,Wood,Sculpture,966.jpg
RC-472 - Triple Osiris Amulet,Egyptian,26TH,663 - 525 BCE,3rd Intermediate,Bronze,Amulets,450.jpg
RC-475 - Axe Head/ Circular,Egyptian,11 - 12TH,2040 - 1782 BCE,Middle Kingdom,Bronze,Tools,704.jpg
RC-478 - Plaque,Mesopotamian,,,,Terracotta,,712.jpg
RC-480 - Funerary Boat,Egyptian,12TH,2066-1650 BCE,Middle Kingdom,Wood,Sculpture,741.jpg
RC-483 - Brewery Tomb Model,Egyptian,12TH,2066-1650 BCE,Middle Kingdom,Wood,Funerary,428.jpg
RC-484 - Boat Model,Egyptian,11TH,2061-1991 BCE,Middle Kingdom,Wood,Sculpture,591.jpg
RC-485 - Boat Model,Egyptian,12TH,1991-1784 BCE,Middle Kingdom,Wood,Sculpture,967.jpg
RC-487 - Mask/ Coffin Fragment,Egyptian,19-26TH,1293-525 BCE,New Kingdom-3rd Int.,Wood,Funerary,256.jpg
RC-490 - Isis Figure,Egyptian,,305 - ?,Ptolemaic - Later,Wood,Sculpture,968.jpg
RC-491 - Hawk,Egyptian,,,,Wood,Sculpture,386.jpg
RC-492 - Mask/ Coffin Fragment,Egyptian,,,,Wood,Funerary,874.jpg
RC-493 - Boat Model,Egyptian,,,,Wood,Sculpture,969.jpg
RC-494 - Funereal Panel,Egyptian,,,,Wood,Funerary,56.jpg
RC-495 - Mummy Case Fragment,Egyptian,,525-343 BCE,Late Period,Cartonnage,Funerary,77.jpg
RC-496 - Funerary Chest Fragment,Egyptian,,,,Wood,Funerary,772.jpg
RC-497 - Breastplate Fragment,Egyptian,,,,Cartonnage,Funerary,166.jpg
RC-499 - Breastplate Fragment,Egyptian,,,,Cartonnage,Funerary,260.jpg
RC-501 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,458.jpg
RC-502 - Stele,Egyptian,,,,Wood,Funerary,798.jpg
RC-504 - Stele,Egyptian,26-30,685-343 BCE,Late Period,Wood,Funerary,460.jpg
RC-505 - Funerary Cone,Egyptian,19TH,1290 - 1224 BCE,New Kingdom,Clay,Epigraphy,886.jpg
RC-506 - Head Fragment,Egyptian,,,?,Gabbro,Sculpture,301.jpg
RC-510 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,780.jpg
RC-512 - Bird,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,713.jpg
RC-513 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,20.jpg
RC-514 - Anubis Head,Egyptian,,,,Wood,Funerary,970.jpg
RC-515 - Bird,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,864.jpg
RC-516 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,869.jpg
RC-517 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,729.jpg
RC-518 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,286.jpg
RC-519 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,541.jpg
RC-520 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,32.jpg
RC-522 - Shawabti,Egyptian,,2134-1784 BCE,Middle Kingdom,Wood,Ritual Objects,852.jpg
RC-523 - Shawabti,Egyptian,,1570-1070 BCE,Ptolemaic,Wood,Ritual Objects,657.jpg
RC-524 - Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,854.jpg
RC-525 - Shawabti,Egyptian,26TH,c. 685-525 BCE,Saite Period,Cedarwood ?,Ritual Objects,971.jpg
RC-526 - Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,754.jpg
RC-527 - Mummiform Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,972.jpg
RC-528 - Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,973.jpg
RC-530 - Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,759.jpg
RC-532 - Shawabti,Egyptian,26TH,685-525 BCE,Saite Period,Faience,Ritual Objects,974.jpg
RC-535 - Shawabti,Egyptian,,,?,Terracotta,Ritual Objects,890.jpg
RC-536 - Shawabti Fragment,Egyptian,,1570-1070 BCE,New Kingdom,Terracotta,Ritual Objects,977.jpg
RC-538 - Shawabti,Egyptian,,1570-686 BCE,New Kingdom Or Later,Terracotta,Ritual Objects,516.jpg
RC-539 - Shawabti,Egyptian,,,?,Terracotta,Ritual Objects,978.jpg
RC-541 - Tomb Figure/ Upper Part,Egyptian,,,,Limestone Or Plaster,Ritual Objects,979.jpg
RC-547 - Shawabti,Egyptian,,,?,Wood,Ritual Objects,980.jpg
RC-548 - Seated Figure,Egyptian,,,,Clay,Sculpture,981.jpg
RC-549 - Taurt Fragment,Egyptian,,,,Clay,Sculpture,274.jpg
RC-550 - Uraeus,Egyptian,,,,Wood,Sculpture,982.jpg
RC-551 - Tomb Figure/ Concubine,Egyptian,,,,Ivory,Sculpture,727.jpg
RC-554 - Khnoum Headdress,Egyptian,,,,Wood,Sculpture,855.jpg
RC-558 - Comb Fragment,Egyptian,18TH,1370 BCE,New Kingdom,Wood,Toiletries,30.jpg
RC-561 - Seated Figure,Egyptian,,343-332 BCE,Ptolemaic,Clay,Sculpture,983.jpg
RC-562 - Faience Ball,Egyptian,18TH,1549-1069 BCE,New Kingdom,Glazed Clay,Toys Or Jewelry,344.jpg
RC-568 - Shawabti Fragment/ Feet,Egyptian,,,?,Faience,Ritual Objects,73.jpg
RC-569 - Shawabti Fragment/ Thigh,Egyptian,,,?,Faience,Ritual Objects,157.jpg
RC-571 - Relief Fragment,Egyptian,,,,Limestone,Sculpture,420.jpg
RC-576 - Anubis Tail,Egyptian,,,,Wood,Sculpture,39.jpg
RC-577 - Tyet Amulet,Egyptian,,,,Wood,Amulets,349.jpg
RC-578 - Bull Foreleg Amulet,Egyptian,,,,Wood,Amulets,271.jpg
RC-579 - Djed Amulet,Egyptian,,,,Wood,Amulets,678.jpg
RC-580 - Symbol,Egyptian,,,,Wood,Funerary,736.jpg
RC-581 - Coffin Panel Fragment,Egyptian,,,,Wood,Funerary,623.jpg
RC-582 - Horus Hawk Amulet,Egyptian,,,,Wood,Amulets,859.jpg
RC-583 - Panel Fragment,Egyptian,,,,Wood,Funerary,984.jpg
RC-584 - Head Fragment From Vessel,Egyptian,,,,Clay,Vessels,498.jpg
RC-585 - Harp Musician Fragment,Egyptian,,,,Clay,Sculpture,921.jpg
RC-586 - Ostraka,Egyptian,,,,Clay,Epigraphy,519.jpg
RC-587 - Ostraka,Egyptian,,,,Clay,Epigraphy,467.jpg
RC-588 - Ostraka,Egyptian,,,,Clay,Epigraphy,730.jpg
RC-593 - Ostraka,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Epigraphy,562.jpg
RC-598 - Coffin Panel,Egyptian,,,,Wood,Funerary,574.jpg
RC-599 - Coffin Panel,Egyptian,,525-343 BCE,Late Period,Wood,Funerary,493.jpg
RC-600 - Coffin Panel,Egyptian,,,,Wood,Funerary,733.jpg
RC-601 - Male Mummy Portrait,Egyptian,,,,Wood,Funerary,481.jpg
RC-605 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,599.jpg
RC-606 - Ptah-Seker-Ausar,Egyptian,,,,Wood,Sculpture,243.jpg
RC-607 - Funerary Chest,Egyptian,,,,Wood,Funerary,444.jpg
RC-608 - Cat Mummy Coffin,Egyptian,,,Saite Or Later,Wood,Sculpture,288.jpg
RC-609 - Coffin Panel,Egyptian,21,21st dynasty,Late Period,Wood,Funerary,439.jpg
RC-612 - Coffin Panel,Egyptian,,,,Wood,Funerary,707.jpg
RC-613 - Coffin Panel,Egyptian,,,,Wood,Funerary,2.jpg
RC-615 - Judgment Scene,Egyptian,19TH,1298-1189 BCE,New Kingdom,Wood,Funerary,353.jpg
RC-616 - Coffin Panel,Egyptian,,,,Wood,Funerary,184.jpg
RC-617 - Coffin Panel Fragment,Egyptian,,,,Wood,Funerary,299.jpg
RC-622 - Stele Fragment,Egyptian,,,,Wood,Funerary,111.jpg
RC-623 - Funerary Chest,Egyptian,,,,Wood,Funerary,369.jpg
RC-625 - Ptah-Seker-Ausar Base,Egyptian,,,,Wood,Sculpture,484.jpg
RC-626 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,688.jpg
RC-632 - Striding Goddess,Egyptian,,,,Faience,Sculpture,807.jpg
RC-636 - Hathor Head Sistrum Base,Egyptian,,c. 30 BCE,Greco-Roman,Faience,Musical Instruments,877.jpg
RC-658 - Khnum,Egyptian,,332 - 30 BCE,Ptolemaic,Stone,Sculpture,985.jpg
RC-660 - Ape Amulet,Egyptian,,,,Clay,Amulets,113.jpg
RC-666 - Mirror,Egyptian,,,,Bronze,Toiletries,817.jpg
RC-667 - Osiris Amulet,Egyptian,,,,Bronze,Amulets,986.jpg
RC-668 - Osiris Amulet,Egyptian,,,,Bronze,Amulets,183.jpg
RC-669 - Young Horus Amulet,Egyptian,,,,Bronze,Amulets,987.jpg
RC-670 - Osiris Amulet,Egyptian,,,,Bronze,Amulets,988.jpg
RC-675 - Arrow Head,Egyptian,,,,Bronze,Tools,873.jpg
RC-681 - Ape Amulet,Egyptian,,,,Bronze,Amulets,989.jpg
RC-682 - Situlae,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Ritual Objects,990.jpg
RC-683 - Waterbird Leg and Foot,Egyptian,,,,Bronze,Sculpture,917.jpg
RC-684 - Hathor Cow Amulet,Egyptian,,,,Bronze,Amulets,991.jpg
RC-685 - Ba,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Wood,Sculpture,91.jpg
RC-686 - Tutankhamun Ring,Egyptian,18TH,1323 - 1319 BCE,New Kingdom,Faience,Jewelry,705.jpg
RC-687 - Granary Model,Egyptian,11TH,Dynasty 11,Middle Kingdom,Wood,Sculpture,518.jpg
RC-688 - Ishtar Coffin Fragment,Mesopotamian,,,,Faience,Babylonian,282.jpg
RC-693 - Ishtar Head,Mesopotamian,,625 BCE - 75 CE,Late Babylonian,,Babylonian,674.jpg
RC-694 - Phallic Goddess,Mesopotamian,,2000 BCE,,,Babylonian,594.jpg
RC-695 - Goddess Face,Mesopotamian,,,,,Babylonian,664.jpg
RC-696 - Ishtar,Mesopotamian,,625 BCE - 75 CE,Late Babylonian,,Babylonian,898.jpg
RC-699 - Contract Tablet,Mesopotamian,,2350 BCE,Sumerian,Clay,Sumerian,192.jpg
RC-700 - Contract Tablet,Mesopotamian,,2350 BCE,Sumerian,Clay,Sumerian,830.jpg
RC-705 - Contract Tablet/ Sealed,Mesopotamian,,2350 BCE,Sumerian,Clay,Sumerian,229.jpg
RC-707 - Contract Tablet Fragment,Mesopotamian,,2350 BCE,Early Dynastic,Clay,Sumerian,219.jpg
RC-708 - Stars & Planets Tablet,Mesopotamian,,2750 BCE,Neo Assyrian,Clay,Assyrian,647.jpg
RC-713 - Medical Text,Mesopotamian,,1000 - 625 BCE,Neo Babylonian,Clay,Babylonian,561.jpg
RC-718 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,105.jpg
RC-719 - Mummy Case Fragment,Egyptian,,525-343 BCE,Late Period,Cartonnage,Funerary,891.jpg
RC-720 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,524.jpg
RC-721 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,578.jpg
RC-722 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,911.jpg
RC-723 - Coffin Fragment,Egyptian,,,,Wood,Funerary,195.jpg
RC-724 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,162.jpg
RC-725 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,387.jpg
RC-736 - Nefertiti Bust,Egyptian,,Modern - 1930s,Modern,Plaster,Replica,993.jpg
RC-738 - Canopic Jar and Lid,Egyptian,,,,Limestone,Vessels,261.jpg
RC-741 - Isis Protecting Horus,Egyptian,,1784-1570 BCE,2nd Intermediate,Wood,Sculpture,69.jpg
RC-750 - Administrative Tablet,Mesopotamian,,2350 BCE,Sumerian,Clay,Sumerian,572.jpg
RC-751 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,80.jpg
RC-760 - Hawk,Egyptian,,,,Wood,Sculpture,206.jpg
RC-770 - Vase,Egyptian,,,,Banded Calcite,Vessels,644.jpg
RC-771 - Bowl,Egyptian,18TH,1500 BCE,New Kingdom,Basalt Porphyry,Vessels,573.jpg
RC-776 - Coin,Egyptian,,1100 - 1200 CE,Coptic/Byzantine,Glass,Coins,269.jpg
RC-818 - Offering Table/Sculptors Model,Egyptian,18TH,1570-1293 BCE,Amarna,Limestone,Ritual Objects/ Scul,300.jpg
RC-819 - Aton Rays Relief Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Stone,Epigraphy,451.jpg
RC-822 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,237.jpg
RC-824 - Wine Jar,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Clay,Vessels,994.jpg
RC-825 - Wine Jar with Two Handles,Egyptian,1 or 2,4000 - 3050 BCE,Early Dynastic,Clay,Vessels,508.jpg
RC-828 - Contract Tablet/ Sealed,Mesopotamian,,2112 - 2004 BCE,,Clay,Sumerian,161.jpg
RC-832 - Contract Tablet/ Sealed,Mesopotamian,,2112 - 2004 BCE,,Clay,Sumerian,826.jpg
RC-844 - Contract Tablet/ Sealed,Mesopotamian,,,,Clay,,411.jpg
RC-847 - Contract Tablet/ Sealed,Mesopotamian,,,,Clay,,179.jpg
RC-848 - Contract Tablet/ Sealed,Mesopotamian,,,,Clay,,904.jpg
RC-861 - Contract Tablet,Mesopotamian,,,,Clay,,396.jpg
RC-868 - Contract Tablet,Mesopotamian,,,,Clay,Babylonian,775.jpg
RC-892 - Contract Tablet,Mesopotamian,,,,Clay,,816.jpg
RC-930 - Literary Tablet,Mesopotamian,,,,Clay,,735.jpg
RC-944 - Capital,Egyptian,,,,Silver,Sculpture,429.jpg
RC-947 - Mummiform Doll,Egyptian,18TH,1375 BCE,Amarna,,Toys/Games,430.jpg
RC-948 - Shawabti/ Overseer,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,425.jpg
RC-958 - Cartouche Relief Fragment,Egyptian,18TH,1353 - 1335 BCE,Amarna,Stone,Epigraphy,139.jpg
RC-960 - Altar Lectern Relief Fragment,Egyptian,18TH,1353 - 1335 BCE,Amarna,Limestone,Epigraphy,582.jpg
RC-962 - Cartouche Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Aswan Granite,Epigraphy,112.jpg
RC-1032 - Mirror/ Without Handle,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Toiletries,812.jpg
RC-1040 - Ba,Egyptian,,30 BCE - 323 CE,Greco-Roman,Wood,Sculpture,631.jpg
RC-1047 - Brick,Mesopotamian,,,,Glazed Clay,Sumerian,651.jpg
RC-1050 - Contract Tablet Frag/ Sealed,Mesopotamian,,500 - 450 BCE,Late Babylonian,Clay,Babylonian,327.jpg
RC-1053 - Administrative Tablet,Mesopotamian,,595 BCE,Late Babylonian,Clay,Babylonian,276.jpg
RC-1055 - Tag/ Sealed,Mesopotamian,,2004 - 1595 BCE,Old Babylonian,Clay,Babylonian,267.jpg
RC-1059 - Lute-Player Ring,Egyptian,18,,New Kingdom,Faience,Jewelry,882.jpg
RC-1066 - Battle Axe,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Bronze,Tools,790.jpg
RC-1070 - Bell,Egyptian,12TH,"2,000 BCE",Middle Kingdom,Bronze,Musical Instruments,920.jpg
RC-1071 - Fish Hook,Egyptian,,395-641 CE,Late Roman,Bronze,Tools,901.jpg
RC-1073 - Harpoon,Egyptian,,323 - 500 CE,Coptic/Byzantine,Iron,Tools,431.jpg
RC-1076 - Comb,Egyptian,,100-200 CE,Coptic/Byzantine,Boxwood,Toiletries,164.jpg
RC-1079 - Kohl Grinding Pallet,Egyptian,11TH,2100 BCE,Middle Kingdom,Marble,Toiletries,708.jpg
RC-1083 - Vase,Egyptian,4TH,2780 BCE,Old Kingdom,Banded Calcite,Vessels,142.jpg
RC-1084 - Vessel,Egyptian,4 - 5TH,2720 BCE,Old Kingdom,Banded Calcite,Vessels,634.jpg
RC-1091 - Wadjet Amulet,Egyptian,,,,Carnelian,Amulets,489.jpg
RC-1092 - Wadjet Amulet,Egyptian,,,,Stone,Amulets,619.jpg
RC-1093 - Wadjet Amulet,Egyptian,,,,Stone,Amulets,697.jpg
RC-1094 - Mummy Eye,Egyptian,,,,Glass,Funerary,129.jpg
RC-1096 - Whorl,Egyptian,,200 - 299 CE,Coptic/Byzantine,Ivory,Tools,698.jpg
RC-1099 - Bracelet,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Jewelry,549.jpg
RC-1108 - Seal Amulet,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Steatite,Writing Materials,277.jpg
RC-1109 - Hathor Head Cylinder Seal,Egyptian,13TH OR 15TH,1746 - 1567 BCE,2nd Intermediate,Steatite,Writing Materials,834.jpg
RC-1111 - Amenemhet Iii Cylinder Seal,Egyptian,12TH,1820 BCE,Middle Kingdom,Steatite,Writing Materials,336.jpg
RC-1112 - Senrosret Iii Cylinder Seal,Egyptian,12TH,1991 - 1600 BCE,Middle Kingdom,Steatite,Writing Materials,480.jpg
RC-1114 - Hatshepsut Cylinder Seal,Egyptian,18TH,1473 - 1458 BCE,New Kingdom,Glazed Steatite,Writing Materials,699.jpg
RC-1117 - Food Offering,Egyptian,,2061-1784 BCE,Middle Kingdom,Faience,Funerary,35.jpg
RC-1118 - Food Offering,Egyptian,,2061-1784 BCE,Middle Kingdom,Faience,Funerary,96.jpg
RC-1120 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Ivory,Jewelry,28.jpg
RC-1121 - Bracelet,Egyptian,,4000 - 3050 BCE,,Bone,Jewelry,693.jpg
RC-1123 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,"""Tortoise Shell-Like Substance""",Jewelry,669.jpg
RC-1125 - Pendant Necklace/Double Strand,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Faience,Jewelry,185.jpg
RC-1139 - Shawabti Fragment/ Feet,Egyptian,,,,Terracotta,Ritual Objects,837.jpg
RC-1145 - Kohl Jar,Egyptian,,,,Faience,Toiletries,995.jpg
RC-1146 - Shirt,Egyptian,,,,Linen,Funerary,996.jpg
RC-1147 - Spoon Fragment,Egyptian,11 - 12TH,2134-2061 BCE,Middle Kingdom,Wood,Toiletries,785.jpg
RC-1148 - Funerary Chest Panel,Egyptian,11- 12TH ?,2040 - 1782 BCE ?,Middle Kingdom?,Wood,Funerary,364.jpg
RC-1150 - Hand Amulet,Egyptian,,,,Faience,Amulets,643.jpg
RC-1152 - Amulet Mold,Egyptian,18TH ?,1570 - 1293 BCE ?,New Kingdom,Clay,Tools,714.jpg
RC-1155 - Seated Young Horus,Egyptian,,,,Bronze,Sculpture,676.jpg
RC-1157 - Double Osiris Amulet Fragment,Egyptian,,,,Bronze,Amulets,469.jpg
RC-1159 - Boat Model Figure,Egyptian,11 - 12TH,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,505.jpg
RC-1161 - Bead Network,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Faience,Funerary,359.jpg
