,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
0,RC-1 - Sekhmet Statue,Egyptian,,332-30 BCE,Ptolemaic,Bronze,Sculpture,789.jpg
1,RC-2 - Harpocrates,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,931.jpg
2,RC-3 - Osiris,Egyptian,,332 - 31 BCE,Ptolemaic,Bronze,Sculpture,365.jpg
3,RC-4 - Khonsu,Egyptian,,332 - 30 BCE,Ptolemaic,Bronze,Sculpture,774.jpg
4,RC-5 - Apis Bull,Egyptian,,525 - 343 BCE,Late Period,Bronze,Sculpture,913.jpg
5,RC-6 - Bast Cat,Egyptian,,332-31 BCE,Ptolemaic,Bronze,Sculpture,932.jpg
6,RC-7 - Horus Hawk on Sarcophagus,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,399.jpg
7,RC-9 - Striding Young Horus,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Sculpture,933.jpg
8,RC-10 - Uraeus,Egyptian,21-25th,1070-656 BCE,3rd Intermediate,Bronze,Sculpture,711.jpg
9,RC-12 - Isis Nursing Horus,Egyptian,,305 BCE - 323 CE,Ptolemaic To Roman,Marble,Sculpture,803.jpg
10,RC-14 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,763.jpg
11,RC-15 - Pitcher/ Vase,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Vessels,934.jpg
12,RC-16 - Mirror/ Dancing Girl Handle,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Toiletries,715.jpg
13,RC-17 - Headrest,Egyptian,3 - 6TH,2705-2250 BCE,Old Kingdom,Wood,Furniture,72.jpg
14,RC-18 - Horus Hawk with Figure,Egyptian,,664 - 30 BCE,,Granite,Sculpture,756.jpg
15,RC-19 - Canopic Jar and Lid,Egyptian,18TH ?,1570 - 1293 BCE ?,New Kingdom ?,Limestone,Vessels,280.jpg
16,RC-22 - Mummy of a Child,Egyptian,,Roman Period,Roman Period,human mummy,Funerary,443.jpg
17,RC-26 - Kohl Jar,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Toiletries,421.jpg
18,RC-28 - Crocodile Lamp,Egyptian,,31 BCE - 395 CE,Ptolemaic-Roman,Bronze,Lamps,1031.jpg
19,RC-29 - Wadjet Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,456.jpg
20,RC-30 - Wadjet Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,404.jpg
21,RC-41 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,355.jpg
22,RC-42 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,632.jpg
23,RC-45 - Uatch Amulet,Egyptian,,305 - 30 BCE,Ptolemaic,Faience,Amulets,883.jpg
24,RC-46 - Uatch Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,376.jpg
25,RC-48 - Uatch Amulet,Egyptian,26TH ?,664  - 525 BCE ?,3rd Intermediate,Faience,Amulets,687.jpg
26,RC-49 - Uatch Amulet,Egyptian,,305 - 30 BCE ?,Ptolemaic ?,Faience,Amulets,462.jpg
27,RC-50 - Djed Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate ?,Faience,Amulets,853.jpg
28,RC-54 - Headrest Amulet,Egyptian,26TH TO ?,664 BCE - ?,3rd Intermediate,Hematite,Amulets,213.jpg
29,RC-57 - Frog Amulet,Egyptian,18 - 26TH,1570 - 525 BCE,New Kingdom - 3rd in,Stone,Amulets,140.jpg
30,RC-64 - Hathor Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,550.jpg
31,RC-65 - Khonsu Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,478.jpg
32,RC-66 - Seated Sekhmet Amulet,Egyptian,26TH TO ?,664 BCE TO ?,3rd Intermediate,Faience,Amulets,92.jpg
33,RC-68 - Ape Game Piece/ Amulet,Egyptian,18 - 30ST,1570 - 323 BCE,New Kingdom To Late,Limestone,Toys/Games,768.jpg
34,RC-69 - Horus Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,935.jpg
35,RC-70 - Seated Ptah,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Stone,Sculpture,782.jpg
36,RC-72 - Bast Cat,Egyptian,26TH-PTOLEMAIC,664-30 BCE,3rd Int. - Ptolemaic,Bronze,Sculpture,936.jpg
37,RC-73 - Priest Head,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Stone,Sculpture,937.jpg
38,RC-74 - Pharaoh Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Marble,Sculpture,829.jpg
39,RC-78 - Ring Mold,Egyptian,18TH,1550 BCE,New Kingdom,Terracotta,Tools,564.jpg
40,RC-79 - Ankh Mold,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Clay,Tools,905.jpg
41,RC-81 - Winged Heart Scarab,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Faience,Amulets,191.jpg
42,RC-82 - Winged Heart Scarab,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,268.jpg
43,RC-91 - Necklace/ Five Strand,Egyptian,27 - 31ST,525 BCE - 30 BCE,Late Period To Ptole,Faience,Jewelry,784.jpg
44,RC-95 - Necklace,Egyptian,12TH ?,1991-1784 BCE,Middle Kingdom,Faience,Jewelry,811.jpg
45,RC-96 - Cat,Egyptian,26TH,664 - 525 BCE,Saite,Wood,Sculpture,938.jpg
46,RC-97 - Stele,Egyptian,18TH,1501 - 1479 BCE,New Kingdom,Wood,Funerary,323.jpg
47,RC-98 - Bird Mummy with Cartonnage,Egyptian,,305 BCE - 323 CE,Ptolemaic-Roman,Animal Remains,Funerary,836.jpg
48,RC-100 - Hawk,Egyptian,,332 BCE - 395 CE,Ptolemaic To Roman,Wood,Sculpture,311.jpg
49,RC-101 - Mask,Egyptian,,332-31 BCE,Ptolemaic,Cartonnage,Funerary,512.jpg
50,RC-102 - Funerary mask from Sais,Egyptian,,Greco-Roman,Greco-Roman,Cartonnage,Funerary,205.jpg
51,RC-104 - Panel,Egyptian,26TH,685-525 BCE,Saite Period,Wood,Funerary,822.jpg
52,RC-105 - Kohl Jar,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Serpentine,Toiletries,222.jpg
53,RC-109 - Ptah,Egyptian,,664 - 525 BCE,,Bronze,Sculpture,85.jpg
54,RC-110 - Ointment Jar,Egyptian,,,,Banded Calcite,Toiletries,939.jpg
55,RC-111 - Hapi/ Son of Horus,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Wood,Sculpture,940.jpg
56,RC-112 - Sekhmet/ Upper Part,Egyptian,,332 BCE - 395 CE,Greco-Roman,Faience,Sculpture,797.jpg
57,RC-114 - Knife Blade,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,446.jpg
58,RC-118 - Mummy Eye,Egyptian,27-31ST,525-332 BCE,Late Period,Glass,Funerary,602.jpg
59,RC-119 - Mehit Aegis,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,597.jpg
60,RC-120 - Min Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Amulets,543.jpg
61,RC-121 - Mirror/Without Handle,Egyptian,,1570 - 1070 BCE,New Kingdom,Bronze,Toiletries,846.jpg
62,RC-122 - Sandal/Left,Egyptian,27 - 31ST,525 - 404 BCE,Late Period,Reed,Toiletries,220.jpg
63,RC-123 - Ba,Egyptian,,30 BCE - 395 CE,,Wood,Sculpture,405.jpg
64,RC-124 - Anubis Jackal,Egyptian,,305 - 30 BCE,Late Period,Wood,Sculpture,375.jpg
65,RC-126 - Shawabti,Egyptian,20TH,1185 - 1070 BCE,New Kingdom,Terracotta,Ritual Objects,144.jpg
66,RC-127 - Faience Shabti,Egyptian,20TH,Dynasty 20,New Kingdom,Faience,Ritual Objects,382.jpg
67,RC-129 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,941.jpg
68,RC-130 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,942.jpg
69,RC-132 - Knife,Egyptian,,"10,000 BCE - 4800 BCE",Neolithic*,Rhyolite,Tools,764.jpg
70,RC-137 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,690.jpg
71,RC-138 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,27.jpg
72,RC-146 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,510.jpg
73,RC-147 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,172.jpg
74,RC-148 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,199.jpg
75,RC-149 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,101.jpg
76,RC-150 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,792.jpg
77,RC-151 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,133.jpg
78,RC-152 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,416.jpg
79,RC-153 - Arrowhead,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,499.jpg
80,RC-154 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,587.jpg
81,RC-155 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,81.jpg
82,RC-156 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,181.jpg
83,RC-157 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,175.jpg
84,RC-158 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,805.jpg
85,RC-159 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,847.jpg
86,RC-160 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,283.jpg
87,RC-161 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,637.jpg
88,RC-162 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,787.jpg
89,RC-163 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,514.jpg
90,RC-164 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,757.jpg
91,RC-165 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,392.jpg
92,RC-166 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,654.jpg
93,RC-170 - Badarian Jar,Egyptian,BADARIAN,4800-4200 BCE,Predynastic,Clay,Vessels,589.jpg
94,RC-173 - Jar,Egyptian,,4800 - 3100 BCE,Predynastic,Clay,Vessels,616.jpg
95,RC-174 - Jar,Egyptian,,3200-3000 BCE,,Clay,Vessels,603.jpg
96,RC-176 - Jar,Egyptian,,3500-3000 BCE,,Clay,Vessels,1.jpg
97,RC-177 - Jar,Egyptian,,3500 - 3000 BCE,,Clay,Vessels,287.jpg
98,RC-183 - Jar,Egyptian,,3500 - 3000 BCE,,Clay,Vessels,590.jpg
99,RC-189 - Jar,Egyptian,,3250 - 3000 BCE,Predynastic,Clay,Vessels,662.jpg
100,RC-190 - Jar,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Clay,Vessels,620.jpg
101,RC-192 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,21.jpg
102,RC-194 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,145.jpg
103,RC-198 - Beer Jar,Egyptian,18-20TH,1549-1069 BCE,New Kingdom,Clay,Vessels,555.jpg
104,RC-199 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,943.jpg
105,RC-200 - Jar,Egyptian,20TH,1185 - 1070 BCE,New Kingdom,Clay,Vessels,123.jpg
106,RC-202 - Pitcher Or Vase W/ One Handle,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,93.jpg
107,RC-203 - Jar with Two Handles,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,138.jpg
108,RC-205 - Bes Bottle,Egyptian,26 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,230.jpg
109,RC-206 - Jar,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,944.jpg
110,RC-208 - Flask,Egyptian,27 - 30ST,525-343 BCE,Late Period,Clay,Vessels,945.jpg
111,RC-209 - Pitcher,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,406.jpg
112,RC-210 - Syrian Flask with One Handle,Egyptian,18-20TH,1570-1070 BCE,New Kingdom,Clay,Vessels,496.jpg
113,RC-211 - Bottle,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,340.jpg
114,RC-212 - Jar with One Handle,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,946.jpg
115,RC-214 - Jar,Egyptian,,30 BCE - 323 CE,Greco-Roman,Clay,Vessels,823.jpg
116,RC-216 - Bes Jar,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,745.jpg
117,RC-217 - Bes Jar with Two Handles,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,125.jpg
118,RC-218 - Jar with One Handle,Egyptian,,332-31 BCE,Ptolemaic,Clay,Vessels,542.jpg
119,RC-219 - Jar,Egyptian,27 - PTOLEMAIC,525 - 30 BCE,Late Period,Clay,Vessels,208.jpg
120,RC-225 - Ibis Mummy,Egyptian,,332 BCE - 395 CE,Ptolemaic To Roman,Animal Remains,Funerary,947.jpg
121,RC-226 - Ibis Mummy,Egyptian,,,,Animal Remains,Funerary,948.jpg
122,RC-227 - Winged Heart Scarab,Egyptian,,,,Varigated Marble,Amulets,448.jpg
123,RC-231 - Osiris Head,Egyptian,,,,Wood,Sculpture,926.jpg
124,RC-232 - Amulet/ Seal,Egyptian,,,,Sandstone,Amulets,899.jpg
125,RC-234 - Sobek,Egyptian,,332 BCE - 395 CE,Greco-Roman,Sandstone,Sculpture,497.jpg
126,RC-237 - Canopic Jar and Lid,Egyptian,,,,Limestone,Vessels,532.jpg
127,RC-240 - Spoon,Egyptian,3 - 6TH ?,2686 - 2181 BCE ?,Old Kingdom ?,Banded Calcite,Vessels,49.jpg
128,RC-241 - Deity,Egyptian,,,,Slate Or Stone,Sculpture,949.jpg
129,RC-245 - Uatch Amulet,Egyptian,,,,Faience,Amulets,670.jpg
130,RC-246 - Canopic Jar/ Without Lid,Egyptian,,,,Banded Calcite,Vessels,696.jpg
131,RC-247 - Pectoral Ornament,Egyptian,,,,Porcelain,Jewelry,383.jpg
132,RC-250 - Canopic Jar Box,Egyptian,,332 BCE - 323 CE,Greco-Roman,Wood,Funerary,116.jpg
133,RC-252 - Arabic Lamp,Oriental,,,,Terra Cotta,Lamps,819.jpg
134,RC-253 - Arabic Boat Lamp,Oriental,,,,Steatite,Lamps,861.jpg
135,RC-254 - Arabic Lamp,Oriental,,642 CE - ?,Arab Conquest,Soapstone,Lamps,246.jpg
136,RC-256 - Fertility Figure,Egyptian,,1784-1570 BCE,,Terracotta,Sculpture,227.jpg
137,RC-259 - Incense Burner,Egyptian,,685-343 BCE,Late Period,Bronze,Ritual Objects,295.jpg
138,RC-263 - Amen-Ra Headdress,Egyptian,,,Late Ptolemaic/Roman,Wood,Sculpture,168.jpg
139,RC-266 - Pottery Fragment,Egyptian,18-20TH,1570-1070 BCE,New Kingdom,Clay,Vessels,304.jpg
140,RC-267 - Mask/ Coffin Fragment,Egyptian,,305 - 30 BCE,Ptolemaic,Wood,Funerary,424.jpg
141,RC-270 - Nub-Maat-Ra Scarab,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,,Amulets,685.jpg
142,RC-275 - Winged Scarab/ Without Wings,Egyptian,,,,Faience,Amulets,738.jpg
143,RC-289 - Wadjet Ring,Egyptian,,,,Faience,Jewelry,681.jpg
144,RC-290 - Horemheb Finger Ring,Egyptian,19TH,1319 - 1292 BCEE,New Kingdom,Faience,Jewelry,501.jpg
145,RC-293 - Mirror/ Papyrus Shaped Handle,Egyptian,11 - 12TH,2061-1784 BCE,Middle Kingdom,Bronze,Toiletries,739.jpg
146,RC-294 - Shawabti,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Steatite Stone ?,Ritual Objects,97.jpg
147,RC-298 - Seated Young Horus,Egyptian,,,,Bronze,Sculpture,875.jpg
148,RC-299 - Pharaoh with Offering,Egyptian,,,,Bronze,Sculpture,593.jpg
149,RC-303 - Libation Vase with One Handle,Egyptian,,,,Banded Calcite,Vessels,951.jpg
150,RC-310 - Contract Tablet,Mesopotamian,,2112 - 2004 BCE,Sumerian,Clay,Sumerian,9.jpg
151,RC-321 - Contract Tablet/ Tag,Mesopotamian,,2112 - 2004 BCE,,Clay,Sumerian,538.jpg
152,RC-334 - Anu Household God,Mesopotamian,,3000 BCE,Sumerian,Clay,Sumerian,801.jpg
153,RC-336 - Household God,Mesopotamian,,1000 BCE,Neo Babylonian,Clay,Babylonian,565.jpg
154,RC-338 - Ishtar Household Goddess,Mesopotamian,,1000 - 609 BCE,Neo Assyrian,Clay,Assyrian,188.jpg
155,RC-339 - Household God,Mesopotamian,,538 BCE - 75 CE,Late Babylonian,Clay,Babylonian,595.jpg
156,RC-340 - Amulet Necklace/ Double Strand,Egyptian,28TH,404 - 399 BCE,Late Period,Faience,Jewelry,850.jpg
157,RC-350 - Amulet Necklace,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Jewelry,135.jpg
158,RC-353 - Osiris Amulet,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Bronze,Amulets,109.jpg
159,RC-354 - Razor/ Knife,Egyptian,18TH,1570 - 1293 BCE],New Kingdom,Bronze,Toiletries,75.jpg
160,RC-355 - Heart Scarab/ Uninscribed,Egyptian,18 - 20TH TO ?,1570 - 1070 BCE,New Kingdom To Later,Serpentine,Amulets,334.jpg
161,RC-356 - Heart Scarab,Egyptian,18 - 20TH ?,1570 - 1070 BCE ?,New Kingdom Or Later,Stone,Amulets,679.jpg
162,RC-358 - Pharaoh Head Fragment,Egyptian,18TH,1570-1293 BCE,New Kingdom,Sandstone,Sculpture,457.jpg
163,RC-359 - Offering Table,Egyptian,,,Ptolemaic,Sandstone,Ritual Objects,385.jpg
164,RC-360 - Offering Table,Egyptian,,,,Sandstone,Ritual Objects,700.jpg
165,RC-361 - Flint Implement,Egyptian,,4000 - 3050 BCE,Late Paleolithic,Jasper,Tools,844.jpg
166,RC-362 - Flint Implement,Egyptian,,"48,000 BCE",Late Paleolithic,Jasper,Tools,665.jpg
167,RC-363 - Flint Implement,Egyptian,,6000 - 3500 BCE,Late Paleolithic,Rhyolite,Tools,795.jpg
168,RC-367 - Apis Bull Head Mummy,Egyptian,19TH,1549-1069 BCE,New Kingdom,Animal Remains,Funerary,103.jpg
169,RC-368 - Nebuchadnezzar Cylinder,Mesopotamian,,604-562 BCE,Late Babylonian,Clay,Babylonian,148.jpg
170,RC-375 - Harpocrates,Egyptian,,332 - 323 BCE,Greco-Roman,Bronze,Sculpture,952.jpg
171,RC-381 - Amphora,Egyptian,,1st or 2nd c. BCE,Ptolemaic-Roman,Glass,Vessels,953.jpg
172,RC-382 - Amphora,Egyptian,26TH,685 - 525 BCE,Saite Period,Glass,Vessels,522.jpg
173,RC-383 - Amphora,,,30 BCE - 395 CE,Roman,Glass,Vessels,954.jpg
174,RC-384 - Amphora,Egyptian,,525 - 332 BCE,Late Period,Glass,Vessels,955.jpg
175,RC-385 - Alabastron,Egyptian,,332 - 30 BCE,Ptolemaic,Glass,Toiletries,956.jpg
176,RC-386 - Alabastron,Egyptian,,332-31 BCE,Ptolemaic,Glass,Toiletries,957.jpg
177,RC-387 - Alabastron,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Amethystine Glass,Toiletries,958.jpg
178,RC-388 - Amphora,Egyptian,,332-31 BCE,Ptolemaic,Glass,Vessels,959.jpg
179,RC-389 - Amphora,Egyptian,,332-31 BCE,Ptolemaic,Glass,Vessels,960.jpg
180,RC-391 - Double Unguentorium,Egyptian,26TH,685 - 395 CE,Saite Or Late Roman,Glass,Toiletries,961.jpg
181,RC-392 - Double Unguentorium,Egyptian,,685 BCE - 395 CE,Saite Or Late Roman,Glass,Toiletries,193.jpg
182,RC-393 - Shawabti Coffin,Egyptian,18-20TH,1570- 1070 BCE,New Kingdom,Cedarwood,Ritual Objects,293.jpg
183,RC-394 - Pot,Mesopotamian,,2400 - 2100 BCE,Old Akkadian,Terracotta,Sumerian,908.jpg
184,RC-395 - Pot,Mesopotamian,,604 - 562 BCE,Late Babylonian,Glazed Terracotta,Babylonian,452.jpg
185,RC-396 - Pot,Mesopotamian,,604 - 562 BCE,Late Babylonian,Terracotta,Babylonian,170.jpg
186,RC-397 - Pot,Mesopotamian,,2000 BCE,Old Assyrian,Terracotta,Assyrian,622.jpg
187,RC-398 - Pot,Mesopotamian,,3200 BCE ?,Sumerian,Terracotta,Sumerian,922.jpg
188,RC-399 - Water Strainer,Mesopotamian,,,,Terracotta,Assyrian,401.jpg
189,RC-400 - Vase,Mesopotamian,,2400 BCE,Sumerian,Limestone,Sumerian,485.jpg
190,RC-401 - Crucible,Mesopotamian,,2400 BCE,Sumerian,Stone,Sumerian,143.jpg
191,RC-404 - Leg Fragment,Egyptian,,525-343 BCE,Late Period,Black Granite,Sculpture,215.jpg
192,RC-419 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,633.jpg
193,RC-420 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,842.jpg
194,RC-421 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,476.jpg
195,RC-422 - Shawabti Box with Lid,Egyptian,,2134-1784 BCE,Middle Kingdom,Wood,Ritual Objects,150.jpg
196,RC-425 - Basket Frame,Egyptian,18TH,1380 - 50 BCE,Amarna,Reed,Basketry,322.jpg
